Name,Continent,Landlocked,First Language,Population,Life Exp.
Afghanistan,Asia,No,English,27101365,59.61
Haiti,North America,No,French,10110019,45
Nigeria,Africa,No,English,186988000,51.3
Egypt,Africa,No,Arabic,90369500,70.48
Argentina,South America,No,Spanish,43590400,75.77
China,Asia,No,Chinese,1357000000,74.87
Brazil,South America,No,Portugeuse,200400000,73.12
Israel,Asia,No,Hebrew,8049314,81.3
U.S.A,North America,No,English,321068000,78.51
Ireland,Europe,No,Irish,4635400,80.15
U.K.,Europe,No,English,65097000,80.09
Germany,Europe,No,German,81459000,80.24
Canada,North America,No,English,35985751,80.99
Australia,Oceania,No,English,23992700,82.09
Sweden,Europe,No,Swedish,9845155,81.43
New Zealand,Oceania,No,English,4659070,80.67
Niger,Africa,Yes,French,18045729,55.13
Chad,Africa,Yes,Arabic,11631456,49.81
Switzerland,Europe,Yes,German,8121830,82.5
Paraguay,South America,Yes,Spanish,6783272,76.99
