ID,Name,Sex,Age,Height,Weight,Team,NOC,Sport
869,"Gabrielle Marie ""Gabby"" Adcock (White-)",F,25,167,,Great Britain,GBR,Badminton
29842,Th Anh,F,20,165,58,Vietnam,VIE,Fencing
22835,Aaron Arthur Cook,M,25,183,80,Moldova,MDA,Taekwondo
15460,Aaron Brown,M,24,198,79,Canada,CAN,Athletics
39016,Aaron Gate,M,25,181,71,New Zealand,NZL,Cycling
103079,Aaron John Royle,M,26,180,67,Australia,AUS,Triathlon
103595,Aaron Russell,M,23,206,93,United States,USA,Volleyball
133243,Aaron Younger,M,24,193,100,Australia,AUS,Water Polo
12909,Aauri Lorena Bokesa Abia,F,27,180,62,Spain,ESP,Athletics
110429,aba Silai,M,25,185,77,Serbia,SRB,Swimming
132909,Ababel Yeshaneh Birhane,F,25,165,54,Ethiopia,ETH,Athletics
44616,Abadi Hadis Embaye,M,18,170,63,Ethiopia,ETH,Athletics
97735,Abbas Qali,M,23,178,77,Individual Olympic Athletes,IOA,Swimming
129476,Abbey Weitzeil,F,19,178,68,United States,USA,Swimming
98502,Abbos Rakhmonov,M,18,161,57,Uzbekistan,UZB,Wrestling
80730,Abbubaker Mobara,M,22,175,64,South Africa,RSA,Football
32815,Abby May Erceg,F,26,177,68,New Zealand,NZL,Football
46110,Abdalelah Haroun Hassan,M,19,185,80,Qatar,QAT,Athletics
133252,Abdalla Yousif,M,19,177,65,Sudan,SUD,Athletics
78176,Abdel Aziz Mehelba,M,27,176,80,Egypt,EGY,Shooting
78998,Abdel Aziz Merzougui Noureddine,M,24,175,67,Spain,ESP,Athletics
104600,Abdel Rahman Salah Orabi Abdelgawwad,M,28,185,81,Egypt,EGY,Boxing
32000,Abdelati El-Guesse,M,23,187,64,Morocco,MAR,Athletics
80932,Abdelaziz Mohamed Ahmed,M,21,181,72,Sudan,SUD,Swimming
27503,Abdelghani Demmou,M,27,185,75,Algeria,ALG,Football
9968,Abdelhafid Benchabla,M,29,184,81,Algeria,ALG,Boxing
468,Abdelhalim Muhammad Abou,M,27,210,88,Egypt,EGY,Volleyball
19536,Abdelkader Chadi,M,29,175,60,Algeria,ALG,Boxing
90052,Abdelkebir Ouaddar,M,54,174,67,Morocco,MAR,Equestrianism
31937,Abdelkhalek El-Banna,M,28,193,95,Egypt,EGY,Rowing
80880,Abdellatif Mohamed Ahmed Mohamed,M,20,176,120,Egypt,EGY,Wrestling
32020,Abdelmajid El-Hissouf,M,23,170,56,Morocco,MAR,Athletics
65938,Abdelmalik Lahoulou,M,24,177,72,Algeria,ALG,Athletics
10092,Abdelraouf Benguit,M,20,170,65,Algeria,ALG,Football
9948,Abderrahmane Benamadi,M,31,183,90,Algeria,ALG,Judo
74591,Abderrahmane Mansouri,M,21,173,66,Algeria,ALG,Cycling
123220,Abdi Hakin Achkel Ulad,M,25,175,57,Denmark,DEN,Athletics
84114,Abdi Nageeye,M,27,165,54,Netherlands,NED,Athletics
82578,Abdi Waiss Mouhyadin,M,20,160,60,Djibouti,DJI,Athletics
85772,Abdoul Khadre Mbaye Niane,M,27,190,90,Senegal,SEN,Swimming
2610,Abdoul Razak Issoufou Alfaga,M,21,207,90,Niger,NIG,Taekwondo
7439,Abdoullah Bamoussa,M,30,170,59,Italy,ITA,Athletics
89046,Abdul Omar,M,22,,,Ghana,GHA,Boxing
59080,Abdul Rahman Khalili,M,24,181,71,Sweden,SWE,Football
3445,"Abdul Wahab ""Alade"" Aminu",M,28,210,102,Nigeria,NGR,Basketball
133698,Abdul Wahab Zahiri,M,24,175,68,Afghanistan,AFG,Athletics
104166,Abdul-Rashid Bulayevich Sadulayev,M,20,177,86,Russia,RUS,Wrestling
2161,Abdulaziz Al-Shatti,M,25,,,Individual Olympic Athletes,IOA,Fencing
80949,Abdullah Abkar Mohammed,M,19,172,73,Saudi Arabia,KSA,Athletics
2112,Abdullah Al-Rashidi,M,52,183,83,Individual Olympic Athletes,IOA,Shooting
7056,Abdullah Hel Baki,M,27,170,82,Bangladesh,BAN,Shooting
109475,Abdullahi Shehu,M,23,170,72,Nigeria,NGR,Football
118449,Abdullo Tovashevich Tangriyev,M,35,190,132,Uzbekistan,UZB,Judo
335,Abdulqdir Abdullayev,M,28,188,91,Azerbaijan,AZE,Boxing
1897,Abdulrahman Al-Faihan,M,30,,,Individual Olympic Athletes,IOA,Shooting
83403,Abdulrazzaq Murad,M,26,186,77,Qatar,QAT,Handball
53085,Abeiku Gyekye Jackson,M,16,,,Ghana,GHA,Swimming
11601,Abhinav Bindra,M,33,173,70,India,IND,Shooting
24584,"Abigail ""Abbey"" D'Agostino",F,24,160,50,United States,USA,Athletics
