Cust_No,Gender,Title,City,County,Country,Occupation,Manufacture,OS,Tarriff,Tarriff_Type,Payment_Method,Contract_Length,AVG_of_Bill_Amount,AVG_of_OOB_Total_Charge,AVG_of_OOB_Amount_to_Total_Amoun,AVG_of_Voice_Usage,AVG_of_SMS_Usage,AVG_of_Data_Usage,Age,Churn_Fl
1000001,female,Ms.,Dysart,Fife,Scotland,Spray machine operator,LG,Proprietary,Red Essentials Premium,Post-Pay,CC,18,76.404,11.4031346,0.14342061,693.025,752.035,5559.952,26,1
1000003,female,Ms.,Stotfold,Bedfordshire,Northern Ireland,Dispensing optician,Motorola,Android OS,Red Essentials Premium,Post-Pay,CC,18,72.776,7.7751291,0.103246326,671.229,884.477,5747.607,38,0
1000004,female,Ms.,Glenrothes,Fife,England,Community support worker,Nokia,Proprietary,Red Essentials,Post-Pay,DD,24,51.806,1.80628908,0.034040671,330.501,438.592,2524.085,45,0
1000005,male,Mr.,March,Cambridgeshire,England,Textile presser,Samsung,Proprietary,Red,Post-Pay,DD,24,36.56,1.560152947,0.042513104,78.7562,121.564,793.5065,33,0
1000007,female,Ms.,Newbury,Berkshire,England,Front desk receptionist,Samsung,Android OS,Red Super,Post-Pay,DD,24,91.928,16.92701188,0.181177993,886.308,952.249,8401.571,50,0
1000008,male,Mr.,North Berwick,Lothian,Northern Ireland,Conference planner,LG,Proprietary,Red Essentials,Post-Pay,CC,24,54.577,4.576997124,0.076201503,277.582,387.849,2715.995,62,1
1000009,female,Dr.,Holywood,County Down,England,Locker room attendant,Apple,iOS,Red Essentials,Post-Pay,DD,24,56.108,6.107524121,0.107148541,436.313,486.788,4141.077,39,0
1000010,female,Ms.,Dingwall,Highlands,England,Transportation attendant,Apple,iOS,Red Super,Post-Pay,CC,24,92.093,17.09312364,0.184050715,840.046,1003.32,7495.727,20,0
1000011,male,Mr.,Boddam,Aberdeenshire,England,Animator,Samsung,Proprietary,Red,Post-Pay,DD,24,36.676,1.675808841,0.045601497,79.536,120.453,798.9232,25,0
1000012,male,Mr.,Stotfold,Bedfordshire,Northern Ireland,Dyeing machine operator,Apple,iOS,Red Essentials,Post-Pay,DD,24,53.328,3.33014412,0.057954742,227.081,346.037,3375.857,24,0
1000013,female,Ms.,Glenrothes,Fife,England,Land acquisition manager,Samsung,Proprietary,Red Super,Post-Pay,DD,24,86.623,11.62368681,0.131974996,854.156,967.642,7785.615,66,0
1000015,female,Ms.,Dunmore,Falkirk,England,Maid,Nokia,Symbian OS ,Red Essentials,Post-Pay,CC,24,58.577,8.575397454,0.141706264,448.113,592.859,3631.449,56,1
1000019,male,Mr.,Pittenweem,Fife,England,FBI agent,HTC,Android OS,Red Essentials,Post-Pay,DD,24,56.508,6.508249198,0.113352918,307.632,473.095,4206.744,33,0
1000021,male,Mr.,Porthleven,Cornwall,England,Sous chef,Apple,iOS,Red Essentials Premium,Post-Pay,DD,18,80.333,15.33347827,0.188456472,477.43,733.282,8526.436,58,0
1000022,male,Mr.,Arbroath,Angus,Scotland,Magistrate,LG,Proprietary,Red,Post-Pay,DD,24,35.913,0.912158117,0.025295572,82.3506,122.587,675.4921,33,0
1000023,male,Mr.,Pittenweem,Fife,Scotland,Credit reporter,HTC,Android OS,Red Essentials Premium,Post-Pay,DD,18,73.511,8.512254268,0.114221465,503.804,722.619,6788.403,37,0
1000024,male,Mr.,Larbert,Falkirk,Scotland,Emergency medical technician,Apple,iOS,Red Essentials,Post-Pay,CC,24,55.731,5.731694686,0.097701968,228.665,333.516,3346.428,52,0
1000025,male,Mr.,Fort William,Highlands,England,Power distributor,Nokia,Proprietary,Red Essentials,Post-Pay,DD,24,55.692,5.69229596,0.101337428,315.664,600.248,4104.58,51,0
1000026,female,Mrs.,Dunstable,Bedfordshire,England,Portrait photographer,Nokia,Proprietary,Red Essentials Premium,Post-Pay,DD,18,70.319,5.319156485,0.073236512,657.856,898.306,5599.42,23,0
1000027,male,Mr.,Merville Garden Village,County Antrim,Northern Ireland,Refuse and recyclable material collector,Samsung,Android OS,Red Essentials,Post-Pay,DD,24,58.155,8.155085038,0.139556195,320.142,478.858,4617.532,45,0
1000028,male,Mr.,Dollar,Clackmannanshire,Scotland,Cryptanalyst,Nokia,Symbian OS ,Red Premium,Post-Pay,DD,18,45.733,0.733425674,0.015509708,112.707,241.986,946.107,19,0
1000029,female,Ms.,Newburgh,Fife,Scotland,Video camera operator,Apple,iOS,Red,Post-Pay,DD,24,36.231,1.231195781,0.033796233,108.974,121.858,683.2173,15,0
1000030,female,Ms.,Grangemouth,Falkirk,England,Executive recruiter,Apple,iOS,Red Essentials Premium,Post-Pay,DD,18,76.91,11.91056309,0.153600139,651.388,748.617,6361.818,42,0
