Key,Fraud_Flag
X000001,1
X000002,1
X000003,0
X000004,0
X000005,0
X000006,1
X000007,1
X000008,0
X000009,1
X000010,1
X000011,1
X000012,0
X000013,0
X000014,1
X000015,0
X000016,1
X000017,0
X000018,0
X000019,0
X000020,0
X000021,0
X000022,1
X000023,0
X000024,1
X000025,0
X000026,1
X000027,0
X000028,1
X000029,1
X000030,0
X000031,0
X000032,1
X000033,0
X000034,0
X000035,0
X000036,0
X000037,0
X000038,1
X000039,1
X000040,0
X000041,1
X000042,0
X000043,0
X000044,0
X000045,1
X000046,0
X000047,0
X000048,0
X000049,1
X000050,0
X000051,0
X000052,0
X000053,0
X000054,1
X000055,1
X000056,0
X000057,1
X000058,0
X000059,1
X000060,0
X000061,1
X000062,0
X000063,1
X000064,1
X000065,0
X000066,1
X000067,1
X000068,0
X000069,0
X000070,0
X000071,0
X000072,0
X000073,0
X000074,0
X000075,0
X000076,0
X000077,0
X000078,0
X000079,1
X000080,0
X000081,0
X000082,1
X000083,0
X000084,0
X000085,0
X000086,1
X000087,0
X000088,0
X000089,1
X000090,0
X000091,0
X000092,1
X000093,0
X000094,0
X000095,0
X000096,0
X000097,0
X000098,0
X000099,1
X000100,0
X000101,1
X000102,0
X000103,1
X000104,0
X000105,1
X000106,0
X000107,0
X000108,0
X000109,0
X000110,0
X000111,0
X000112,1
X000113,0
X000114,1
X000115,1
X000116,0
X000117,0
X000118,1
X000119,0
X000120,1
X000121,1
X000122,0
X000123,1
X000124,0
X000125,1
X000126,1
X000127,0
X000128,1
X000129,0
X000130,1
X000131,0
X000132,1
X000133,0
X000134,0
X000135,1
X000136,0
X000137,0
X000138,0
X000139,1
X000140,0
X000141,0
X000142,0
X000143,0
X000144,1
X000145,1
X000146,1
X000147,0
X000148,0
X000149,0
X000150,0
X000151,1
X000152,1
X000153,0
X000154,0
X000155,0
X000156,1
X000157,0
X000158,0
X000159,1
X000160,1
X000161,1
X000162,0
X000163,0
X000164,0
X000165,1
X000166,0
X000167,0
X000168,1
X000169,0
X000170,0
X000171,1
X000172,0
X000173,1
X000174,0
X000175,1
X000176,0
X000177,0
X000178,0
X000179,0
X000180,0
X000181,0
X000182,0
X000183,1
X000184,0
X000185,1
X000186,0
X000187,0
X000188,0
X000189,0
X000190,0
X000191,0
X000192,1
X000193,1
X000194,0
X000195,1
X000196,0
X000197,0
X000198,0
X000199,1
X000200,0
X000201,0
X000202,0
X000203,1
X000204,0
X000205,0
X000206,0
X000207,0
X000208,1
X000209,1
X000210,1
X000211,0
X000212,1
X000213,1
X000214,0
X000215,1
X000216,0
X000217,0
X000218,0
X000219,1
X000220,0
X000221,0
X000222,0
X000223,1
X000224,0
X000225,0
X000226,0
X000227,1
X000228,0
X000229,0
X000230,0
X000231,1
X000232,0
X000233,1
X000234,0
X000235,0
X000236,0
X000237,0
X000238,0
X000239,0
X000240,0
X000241,0
X000242,0
X000243,0
X000244,1
X000245,0
X000246,1
X000247,1
X000248,0
X000249,0
X000250,1
X000251,0
X000252,0
X000253,0
X000254,0
X000255,0
X000256,0
X000257,1
X000258,0
X000259,0
X000260,1
X000261,1
X000262,1
X000263,1
X000264,0
X000265,0
X000266,0
X000267,0
X000268,0
X000269,0
X000270,1
X000271,1
X000272,0
X000273,0
X000274,0
X000275,0
X000276,0
X000277,0
X000278,0
X000279,1
X000280,0
X000281,1
X000282,1
X000283,1
X000284,0
X000285,0
X000286,0
X000287,0
X000288,0
X000289,1
X000290,1
X000291,0
X000292,0
X000293,1
X000294,1
X000295,1
X000296,0
X000297,1
X000298,0
X000299,0
X000300,0
X000301,0
X000302,1
X000303,0
X000304,1
X000305,0
X000306,0
X000307,0
X000308,1
X000309,1
X000310,0
X000311,0
X000312,1
X000313,1
X000314,1
X000315,0
X000316,1
X000317,1
X000318,0
X000319,1
X000320,0
X000321,0
X000322,0
X000323,1
X000324,0
X000325,0
X000326,1
X000327,1
X000328,1
X000329,1
X000330,1
X000331,0
X000332,0
X000333,0
X000334,0
X000335,1
X000336,0
X000337,1
X000338,0
X000339,1
X000340,1
X000341,0
X000342,1
X000343,1
X000344,1
X000345,0
X000346,1
X000347,1
X000348,0
X000349,0
X000350,0
X000351,0
X000352,1
X000353,1
X000354,0
X000355,0
X000356,1
X000357,1
X000358,1
X000359,1
X000360,1
X000361,1
X000362,1
X000363,0
X000364,0
X000365,0
X000366,1
X000367,0
X000368,1
X000369,1
X000370,0
X000371,1
X000372,0
X000373,0
X000374,0
X000375,0
X000376,0
X000377,1
X000378,0
X000379,1
X000380,1
X000381,0
X000382,0
X000383,1
X000384,0
X000385,0
X000386,1
X000387,0
X000388,0
X000389,1
X000390,1
X000391,1
X000392,1
X000393,1
X000394,0
X000395,1
X000396,0
X000397,0
X000398,0
X000399,0
X000400,1
X000401,1
X000402,0
X000403,1
X000404,0
X000405,1
X000406,0
X000407,0
X000408,0
X000409,0
X000410,1
X000411,1
X000412,0
X000413,0
X000414,1
X000415,1
X000416,0
X000417,1
X000418,1
X000419,0
X000420,0
X000421,0
X000422,0
X000423,1
X000424,0
X000425,1
X000426,1
X000427,0
X000428,0
X000429,0
X000430,1
X000431,1
X000432,1
X000433,0
X000434,1
X000435,0
X000436,0
X000437,0
X000438,0
X000439,1
X000440,0
X000441,0
X000442,1
X000443,0
X000444,0
X000445,0
X000446,0
X000447,0
X000448,0
X000449,0
X000450,1
X000451,1
X000452,0
X000453,1
X000454,1
X000455,1
X000456,0
X000457,0
X000458,0
X000459,0
X000460,0
X000461,0
X000462,0
X000463,0
X000464,0
X000465,0
X000466,0
X000467,0
X000468,0
X000469,0
X000470,0
X000471,0
X000472,0
X000473,0
X000474,0
X000475,0
X000476,0
X000477,0
X000478,0
X000479,0
X000480,0
X000481,1
X000482,0
X000483,0
X000484,0
X000485,0
X000486,1
X000487,0
X000488,1
X000489,0
X000490,0
X000491,0
X000492,1
X000493,0
X000494,1
X000495,0
X000496,0
X000497,0
X000498,0
X000499,0
X000500,0
