Year,Gold,Silver,Bronze,Total
1964,1,2,1,4
1968,1,3,1,5
1972,0,2,3,5
1976,0,5,6,11
1980,0,0,0,0
1984,10,18,16,44
1988,3,2,5,10
1992,7,4,7,18
1996,3,11,8,22
2000,3,3,8,14
2004,3,6,3,12
2008,3,9,6,18
1964,0,0,0,0
1968,0,0,0,0
1972,0,0,0,0
1976,0,0,0,0
1980,0,0,0,0
1984,15,8,9,32
1988,5,11,12,28
1992,16,22,16,54
1996,16,22,12,50
2000,28,16,15,59
2004,32,17,14,63
2008,51,21,28,100
1964,10,22,18,50
1968,14,20,17,51
1972,33,34,39,106
1976,50,37,42,129
1980,47,37,42,126
1984,17,19,23,59
1988,48,49,45,142
1992,33,21,28,82
1996,20,18,27,65
2000,13,17,26,56
2004,13,16,20,49
2008,16,10,15,41
1964,30,31,35,96
1968,29,32,30,91
1972,50,27,22,99
1976,49,41,35,125
1980,80,69,46,195
1988,55,31,46,132
1992,45,38,29,112
1996,26,21,16,63
2000,32,28,28,88
2004,27,27,38,92
2008,23,21,28,72
1964,4,12,2,18
1968,5,5,3,13
1972,4,5,9,18
1976,3,5,5,13
1980,5,7,9,21
1984,5,11,21,37
1988,5,10,9,24
1992,5,3,12,20
1996,1,8,6,15
2000,11,10,7,28
2004,9,9,12,30
2008,19,13,15,47
1964,36,26,28,90
1968,45,28,34,107
1972,33,31,30,94
1976,34,35,25,94
1980,0,0,0,0
1984,83,61,30,174
1988,36,31,27,94
1992,37,34,37,108
1996,44,32,25,101
2000,37,24,31,92
2004,36,39,28,103
2008,36,38,36,110
