Place,Number,Wave,Age_Cat,Gender,TI_Number,Swim,T1,Cycle,T2,Run,Finish
11,46,1,16-19,M,10052793,518,64,2293,42,1446,4364
8,151,1,40-49,M,10046427,877,81,2114,59,1192,4323
3,110,1,30-39,M,,621,85,1982,53,1282,4023
2,103,1,30-39,M,10045063,616,87,2016,58,1225,4002
4,155,1,40-49,M,10042375,621,89,2005,53,1474,4243
15,132,1,30-39,M,10017048,688,90,2310,55,1299,4441
13,80,1,30-39,M,,597,97,2451,69,1194,4408
19,122,1,30-39,M,10010527,725,98,2246,54,1404,4528
19,122,1,30-39,M,10010527,725,98,2246,54,1404,4528
18,116,1,30-39,M,10037365,663,99,2239,56,1430,4487
17,125,1,30-39,M,100627763,840,99,2199,61,1285,4484
95,57,1,20-29,M,10057260,1002,102,2449,59,1756,5368
9,152,1,40-49,M,10061729,700,103,2230,45,1248,4326
12,124,1,30-39,M,10062402,658,104,2396,60,1152,4369
23,105,1,30-39,M,,822,105,2365,81,1223,4596
6,120,1,30-39,M,10067914,688,107,2197,60,1224,4276
27,138,1,40-49,M,,784,108,2284,79,1433,4688
75,146,1,40-49,M,10036997,1116,113,2499,96,1355,5178
96,148,1,40-49,M,10061923,799,113,2631,74,1752,5369
22,111,1,30-39,M,,826,119,2213,70,1363,4591
29,129,1,30-39,M,10066815,769,121,2445,81,1315,4730
30,104,1,30-39,M,,789,123,2385,57,1381,4736
37,98,1,30-39,M,10042465,712,125,2473,74,1466,4849
102,154,1,40-49,M,10062730,1321,126,2454,81,1411,5393
34,53,1,20-29,M,10064640,566,131,2518,65,1522,4802
28,101,1,30-39,M,,713,132,2449,80,1323,4696
26,100,1,30-39,M,,792,134,2444,79,1213,4662
137,159,1,40-49,M,10062701,858,136,2579,82,2092,5747
39,64,1,20-29,M,10066094,731,140,2459,77,1457,4864
73,118,1,30-39,M,10049362,790,145,2331,106,1804,5175
40,88,1,30-39,M,10065955,846,146,2375,80,1418,4866
100,75,1,30-39,M,10052928,831,149,2786,56,1565,5387
45,145,1,40-49,M,10032421,841,149,2338,67,1529,4925
92,144,1,40-49,M,10039398,770,151,2624,91,1653,5289
67,102,1,30-39,M,10063411,869,158,2564,71,1473,5134
57,162,1,40-49,M,10004135,756,159,2566,85,1497,5063
33,164,1,40-49,M,10061649,836,161,2365,89,1335,4786
21,82,1,30-39,M,10062822,860,166,2286,77,1146,4535
121,91,1,30-39,M,10050171,867,167,2732,52,1719,5538
59,97,1,30-39,M,10053747,922,172,2515,74,1391,5074
52,113,1,30-39,M,10066867,816,173,2456,52,1511,5008
70,95,1,30-39,M,10047990,887,175,2499,79,1512,5151
47,140,1,40-49,M,10058666,944,175,2497,72,1313,5001
173,156,1,40-49,M,10032251,1061,177,2691,120,2391,6440
123,92,1,30-39,M,10046312,1068,178,2636,83,1588,5553
103,65,1,20-29,M,10040117,881,182,2756,91,1491,5401
172,142,1,40-49,M,10057193,1225,186,2900,92,2034,6437
133,130,1,30-39,M,10016940,995,195,2556,95,1854,5696
160,150,1,40-49,M,10049046,1334,197,2790,113,1674,6108
44,61,1,20-29,M,10067500,765,198,2428,96,1436,4922
136,163,1,40-49,M,10043479,846,200,2847,115,1736,5744
61,96,1,30-39,M,10059250,1015,211,2477,44,1329,5076
31,149,1,40-49,M,10063381,813,215,2322,113,1286,4749
109,73,1,30-39,M,10060067,924,217,2793,85,1431,5450
105,153,1,40-49,M,10046797,825,226,2486,121,1757,5414
80,123,1,30-39,M,10033217,778,236,2598,114,1490,5215
178,268,1,30-39,M,10056128,1804,247,2720,99,1735,6604
,78,1,30-39,M,,1054,146,2545,84,,
32,89,2,30-39,M,,873,122,2279,55,1437,4766
35,50,2,20-29,M,,693,138,2472,42,1466,4811
46,106,2,30-39,M,,635,211,2538,81,1479,4945
48,70,2,20-29,M,,787,156,2629,56,1375,5003
49,60,2,20-29,M,,827,222,2524,62,1369,5004
55,81,2,30-39,M,,773,187,2488,123,1470,5041
56,94,2,30-39,M,,694,112,2542,88,1611,5047
62,109,2,30-39,M,,774,168,2728,57,1367,5094
63,90,2,30-39,M,,806,184,2388,100,1637,5115
66,134,2,30-39,M,,812,161,2632,103,1416,5124
72,63,2,20-29,M,,729,175,2584,108,1570,5166
84,147,2,40-49,M,,854,145,2567,93,1577,5235
89,99,2,30-39,M,,721,163,2784,56,1538,5262
90,87,2,30-39,M,,847,209,2514,112,1584,5266
91,68,2,20-29,M,,820,142,2643,45,1634,5283
97,58,2,20-29,M,,735,213,2701,66,1655,5370
99,83,2,30-39,M,,832,236,2649,104,1563,5384
101,76,2,30-39,M,,997,224,2523,61,1585,5389
104,143,2,40-49,M,,834,152,2905,61,1454,5406
108,158,2,40-49,M,,806,220,2589,125,1705,5445
116,160,2,40-49,M,,682,157,2436,117,2097,5489
117,141,2,40-49,M,,846,162,2683,62,1752,5506
129,48,2,20-29,M,,1102,124,2662,47,1723,5658
130,119,2,30-39,M,,973,211,2625,59,1799,5667
131,54,2,20-29,M,,940,202,3083,63,1381,5669
132,77,2,30-39,M,,1012,210,2785,70,1603,5680
135,121,2,30-39,M,,916,303,2747,87,1649,5702
138,117,2,30-39,M,,926,234,2825,87,1687,5758
145,67,2,20-29,M,,760,484,2946,151,1485,5826
147,161,2,40-49,M,,965,266,2833,102,1675,5842
148,206,2,20-29,M,,976,183,3636,82,978,5854
149,108,2,30-39,M,,1044,217,2890,191,1523,5866
150,59,2,20-29,M,,930,196,2976,66,1700,5868
153,51,2,20-29,M,,906,318,3002,62,1648,5936
154,66,2,20-29,M,,897,348,2930,172,1599,5946
156,74,2,30-39,M,,1076,221,2802,117,1787,6003
157,84,2,30-39,M,,985,314,2840,77,1788,6004
169,55,2,20-29,M,,1118,366,3114,127,1674,6399
171,139,2,40-49,M,,970,282,3019,119,2034,6424
174,72,2,20-29,M,,891,305,3380,117,1810,6504
175,115,2,30-39,M,,909,257,3103,80,2172,6521
180,71,2,20-29,M,,1368,,,,,
128,215,2,20-29,F,10063277,815,163,2901,62,1713,5654
125,251,2,40-49,F,10046063,765,152,2746,83,1868,5614
1,266,2,30-39,M,10013957,577,73,1867,47,1195,3759
5,190,2,50+,M,10013255,621,104,2169,51,1322,4268
7,181,2,40-49,M,10010720,601,89,2188,49,1374,4302
10,231,2,30-39,F,10003382,666,80,2342,54,1207,4349
14,207,2,30-39,M,10065376,702,188,2321,68,1154,4433
16,250,2,40-49,F,10015003,624,76,2378,48,1356,4482
20,216,2,20-29,F,10039374,728,92,2372,51,1292,4534
20,216,2,20-29,F,10039374,728,92,2372,51,1292,4534
24,185,2,40-49,M,10005690,727,117,2276,75,1441,4635
25,265,2,30-39,M,10003518,648,120,2498,63,1328,4656
36,192,2,50+,M,10045606,876,113,2378,74,1397,4837
38,208,2,30-39,M,10011647,756,134,2469,102,1401,4862
41,127,2,20-29,F,10044421,565,101,2779,66,1357,4868
42,269,2,30-39,M,10059429,645,157,2540,75,1476,4893
50,184,2,40-49,M,10027681,1044,162,2344,81,1375,5006
51,187,2,40-49,M,10032822,835,151,2438,80,1502,5007
53,189,2,50+,M,F10010534,675,136,2545,78,1578,5013
54,254,2,40-49,F,10036236,812,167,2304,66,1666,5014
58,203,2,50+,M,10013234,671,114,2559,88,1638,5069
65,246,2,40-49,F,10033020,939,176,2336,68,1602,5121
68,310,2,40-49,F,10003670,864,164,2632,61,1417,5137
69,196,3,50+,M,10002881,894,178,2433,70,1574,5149
71,212,3,20-29,F,10065304,690,104,2788,41,1539,5162
76,225,3,30-39,F,10064242,759,162,2781,56,1425,5183
78,256,3,40-49,F,10056518,1019,143,2492,113,1423,5189
79,199,3,50+,M,10019179,963,178,2504,50,1518,5213
81,232,3,30-39,F,10060625,856,131,2513,83,1633,5216
82,186,3,40-49,M,10031680,686,230,2510,189,1602,5217
