Number,Province
46,Leinster
53,Connacht
57,Leinster
61,Leinster
64,Leinster
65,Munster
73,Leinster
75,Munster
80,Leinster
82,Leinster
88,Munster
91,Munster
92,Munster
95,Leinster
97,Leinster
98,Leinster
100,Leinster
101,Munster
102,Leinster
103,Ulster
104,Munster
105,Munster
110,Munster
111,Leinster
113,Munster
116,Munster
120,Leinster
122,Munster
122,Ulster
123,Munster
124,Munster
125,Leinster
129,Leinster
130,Leinster
132,Connacht
138,Ulster
140,Leinster
142,Leinster
144,Leinster
145,Leinster
146,Leinster
148,Munster
149,Connacht
150,Leinster
151,Leinster
152,Ulster
153,Leinster
154,Munster
155,Munster
156,Leinster
159,Connacht
162,Leinster
163,Ulster
164,Munster
268,Munster
78,Ulster
50,Ulster
106,Leinster
70,Leinster
60,Leinster
81,Ulster
94,Munster
109,Connacht
90,Leinster
134,Leinster
63,Leinster
147,Leinster
99,Connacht
87,Leinster
68,Munster
58,Leinster
83,Connacht
76,Leinster
143,Munster
158,Leinster
160,Ulster
141,Leinster
48,Leinster
119,Leinster
54,Ulster
77,Leinster
121,Ulster
117,Leinster
67,Leinster
161,Leinster
206,Munster
108,Leinster
59,Leinster
51,Leinster
66,Leinster
74,Leinster
84,Leinster
55,Leinster
139,Ulster
72,Leinster
115,Munster
71,Leinster
215,Leinster
251,Leinster
266,Leinster
190,Leinster
181,Munster
231,Leinster
207,Connacht
250,Ulster
216,Ulster
216,Munster
265,Leinster
192,Munster
208,Leinster
127,Munster
269,Ulster
184,Leinster
187,Munster
189,Leinster
254,Leinster
203,Leinster
246,Ulster
310,Leinster
196,Munster
212,Leinster
225,Leinster
256,Ulster
199,Connacht
232,Leinster
186,Ulster
229,Leinster
234,Ulster
239,Munster
176,Leinster
247,Leinster
202,Leinster
260,Ulster
198,Leinster
174,Leinster
394,Munster
195,Leinster
264,Munster
257,Leinster
135,Munster
263,Leinster
227,Leinster
230,Munster
237,Munster
175,Ulster
241,Leinster
219,Ulster
244,Ulster
205,Leinster
248,Leinster
243,Ulster
228,Leinster
235,Leinster
191,Connacht
236,Leinster
200,Leinster
252,Munster
172,Leinster
224,Munster
179,Munster
262,Connacht
221,Leinster
253,Leinster
255,Leinster
180,Leinster
204,Munster
183,Leinster
209,Ulster
193,Munster
173,Munster
258,Munster
188,Ulster
197,Ulster
267,Leinster
233,Leinster
218,Munster
112,Leinster
217,Leinster
222,Leinster
201,Leinster
170,Connacht
249,Leinster
261,Munster
178,Leinster
395,Munster
396,Munster
397,Munster
398,Ulster
399,Ulster
400,Leinster
401,Leinster
402,Connacht
403,Leinster
404,Munster
405,Leinster
406,Leinster
