Account,Quarter,Liability
11234,Q1,55076.92265
11234,Q2,27016.16666
11234,Q3,22406.83193
11234,Q4,14676.19359
1,Q1,22855.11127
1,Q2,0
1,Q3,0
1,Q4,0
2,Q1,23337.37277
2,Q2,85144.71131
2,Q3,0
2,Q4,46792.8567
3,Q1,18957.93608
3,Q2,0
3,Q3,0
3,Q4,0
4,Q1,32841.2355
4,Q2,16487.98092
4,Q3,52195.91213
4,Q4,56071.992
5,Q1,0
5,Q2,17764.85529
5,Q3,34990.70985
5,Q4,0
6,Q1,3192.313604
6,Q2,19926.97664
6,Q3,76178.50723
6,Q4,26395.01775
7,Q1,35582.49954
7,Q2,84832.06542
7,Q3,35396.14368
7,Q4,14128.11343
8,Q1,2143.31891
8,Q2,46910.19879
8,Q3,49961.8305
8,Q4,0
9,Q1,20125.21922
9,Q2,0
9,Q3,8611.71539
9,Q4,0
10,Q1,445.289843
10,Q2,35564.46974
10,Q3,15012.70925
10,Q4,34024.46742
11,Q1,48713.83718
11,Q2,0
11,Q3,0
11,Q4,70285.09618
12,Q1,4532.104626
12,Q2,0
12,Q3,0
12,Q4,32237.05382
13,Q1,79352.53114
13,Q2,0
13,Q3,5638.525514
13,Q4,0
14,Q1,0
14,Q2,59045.52069
14,Q3,0
14,Q4,7462.379658
15,Q1,25538.08976
15,Q2,53255.87082
15,Q3,0
15,Q4,15522.45924
16,Q1,11206.05331
16,Q2,84739.00363
16,Q3,2481.781416
16,Q4,0
17,Q1,39745.41034
17,Q2,32767.42619
17,Q3,43194.4956
17,Q4,45984.17431
18,Q1,0
18,Q2,3363.944654
18,Q3,51573.50877
18,Q4,0
19,Q1,44702.75927
19,Q2,27552.55843
19,Q3,42385.8347
19,Q4,14254.41276
20,Q1,29081.79707
20,Q2,5147.283509
20,Q3,35738.57458
20,Q4,26532.37473
21,Q1,0
21,Q2,0
21,Q3,25221.9194
21,Q4,0
22,Q1,27536.45614
22,Q2,0
22,Q3,0
22,Q4,8081.739624
23,Q1,18979.56105
23,Q2,5331.21063
23,Q3,0
23,Q4,0
24,Q1,31291.86935
24,Q2,0
24,Q3,18975.37842
24,Q4,18057.08201
25,Q1,32676.35269
25,Q2,3035.583254
25,Q3,26744.25929
25,Q4,61992.53482
26,Q1,22504.92131
26,Q2,0
26,Q3,0
26,Q4,4480.652375
27,Q1,67012.59407
27,Q2,0
27,Q3,48157.04178
27,Q4,4193.466
28,Q1,36858.76223
28,Q2,44106.52773
28,Q3,0
28,Q4,121636.624
29,Q1,18247.18616
29,Q2,0
29,Q3,0
29,Q4,52626.52099
30,Q1,41548.05931
30,Q2,67134.51993
30,Q3,15468.51121
30,Q4,24810.93061
31,Q1,28162.90109
31,Q2,0
31,Q3,0
31,Q4,12438.74152
32,Q1,0
32,Q2,0
32,Q3,0
32,Q4,27295.49426
33,Q1,61204.26957
33,Q2,0
33,Q3,17349.33035
33,Q4,16609.61268
34,Q1,0
34,Q2,0
34,Q3,16137.14433
34,Q4,46920.02949
35,Q1,11384.24678
35,Q2,0
35,Q3,30725.05579
35,Q4,0
36,Q1,17363.39298
36,Q2,18893.18433
36,Q3,8746.672821
36,Q4,0
37,Q1,16191.4329
37,Q2,36490.70793
37,Q3,26099.48363
37,Q4,54482.55821
38,Q1,79012.42858
38,Q2,0
38,Q3,29840.86071
38,Q4,10240.03771
39,Q1,25247.72929
39,Q2,16586.00435
39,Q3,0
39,Q4,0
40,Q1,15562.46479
40,Q2,0
40,Q3,21718.86282
40,Q4,0
41,Q1,7442.349316
41,Q2,1861.697019
41,Q3,0
41,Q4,29297.58191
42,Q1,0
42,Q2,0
42,Q3,0
42,Q4,0
43,Q1,18423.99505
43,Q2,28646.66118
43,Q3,0
43,Q4,0
44,Q1,27941.06755
44,Q2,16540.45757
44,Q3,51481.15353
44,Q4,0
45,Q1,6240.706908
45,Q2,24495.98882
45,Q3,0
45,Q4,10544.50995
46,Q1,0
46,Q2,0
46,Q3,86000.10193
46,Q4,0
47,Q1,26063.12995
47,Q2,47560.75942
47,Q3,13813.62052
47,Q4,20638.48871
48,Q1,36332.74803
48,Q2,0
48,Q3,46579.26977
48,Q4,0
49,Q1,31597.92138
49,Q2,0
49,Q3,49423.33375
49,Q4,16791.55994
50,Q1,1536.493126
50,Q2,58084.59734
50,Q3,2833.26134
50,Q4,51316.90088
