day,datetime,participant1,participant2
1,2010-12-07 00:01:18.480,1246,1378
1,2010-12-07 00:02:39.000,1246,1378
1,2010-12-07 00:12:02.640,1238,1246
1,2010-12-07 00:17:24.720,1246,1378
1,2010-12-07 00:24:07.320,1238,1246
1,2010-12-07 00:59:00.840,1238,1378
1,2010-12-07 01:41:17.220,1246,1365
1,2010-12-07 01:41:17.220,1701,1130
1,2010-12-07 01:56:43.200,1109,1246
1,2010-12-07 02:03:25.800,1395,1190
1,2010-12-07 02:03:25.800,1246,1352
1,2010-12-07 02:07:27.360,1109,1246
1,2010-12-07 02:28:55.680,1114,1181
1,2010-12-07 02:34:17.760,1114,1164
1,2010-12-07 02:35:38.280,1109,1114
1,2010-12-07 02:36:58.800,1109,1114
1,2010-12-07 02:38:19.320,1109,1114
1,2010-12-07 02:41:00.360,1109,1114
1,2010-12-07 02:42:20.880,1109,1114
1,2010-12-07 02:43:41.400,1109,1114
1,2010-12-07 02:45:01.920,1109,1114
1,2010-12-07 02:46:22.440,1109,1114
1,2010-12-07 02:47:42.960,1109,1114
1,2010-12-07 02:49:03.480,1109,1114
1,2010-12-07 02:50:24.000,1164,1181
1,2010-12-07 02:50:24.000,1109,1114
1,2010-12-07 02:51:44.520,1109,1114
1,2010-12-07 02:53:05.040,1109,1114
1,2010-12-07 02:54:25.560,1238,1246
1,2010-12-07 02:54:25.560,1320,1116
1,2010-12-07 02:54:25.560,1109,1114
1,2010-12-07 03:08:14.916,1395,1221
1,2010-12-07 03:08:14.916,1238,1246
1,2010-12-07 03:15:53.880,1164,1181
1,2010-12-07 03:17:14.400,1164,1181
1,2010-12-07 03:17:14.400,1109,1114
1,2010-12-07 03:18:34.920,1164,1181
1,2010-12-07 03:18:34.920,1109,1114
1,2010-12-07 03:19:55.440,1164,1181
1,2010-12-07 03:19:55.440,1109,1114
1,2010-12-07 03:21:15.960,1164,1181
1,2010-12-07 03:21:15.960,1109,1114
1,2010-12-07 03:22:36.480,1164,1181
1,2010-12-07 03:22:36.480,1109,1114
1,2010-12-07 03:23:57.000,1109,1114
1,2010-12-07 03:25:17.520,1164,1181
1,2010-12-07 03:25:17.520,1109,1114
1,2010-12-07 03:26:38.040,1109,1114
1,2010-12-07 03:26:38.040,1115,1295
1,2010-12-07 03:27:58.560,1109,1114
1,2010-12-07 03:27:58.560,1115,1295
1,2010-12-07 03:29:19.080,1115,1295
1,2010-12-07 03:29:19.080,1114,1164
1,2010-12-07 03:29:19.080,1109,1114
1,2010-12-07 03:30:39.600,1115,1295
1,2010-12-07 03:30:39.600,1109,1114
1,2010-12-07 03:30:39.600,1164,1181
1,2010-12-07 03:32:00.120,1295,1518
1,2010-12-07 03:32:00.120,1109,1114
1,2010-12-07 03:33:20.640,1246,1518
1,2010-12-07 03:33:20.640,1114,1295
1,2010-12-07 03:34:41.160,1114,1295
1,2010-12-07 03:34:41.160,1246,1518
1,2010-12-07 03:36:01.680,1109,1114
1,2010-12-07 03:37:22.200,1181,1295
1,2010-12-07 03:38:42.720,1114,1295
1,2010-12-07 03:38:42.720,1115,1518
1,2010-12-07 03:40:03.240,1114,1295
1,2010-12-07 03:40:03.240,1114,1115
1,2010-12-07 03:40:03.240,1115,1295
1,2010-12-07 03:41:23.760,1114,1295
1,2010-12-07 03:41:23.760,1115,1295
1,2010-12-07 03:45:25.320,1114,1295
1,2010-12-07 03:46:45.840,1378,1518
1,2010-12-07 03:49:26.880,1109,1374
1,2010-12-07 03:50:47.400,1114,1115
1,2010-12-07 03:57:42.078,1701,1108
1,2010-12-07 03:57:42.078,1246,1393
1,2010-12-07 04:00:11.040,1114,1295
1,2010-12-07 04:01:31.560,1114,1295
1,2010-12-07 04:02:52.080,1114,1295
1,2010-12-07 04:04:12.600,1114,1295
1,2010-12-07 04:04:12.600,1114,1115
1,2010-12-07 04:05:33.120,1114,1295
1,2010-12-07 04:05:33.120,1114,1115
1,2010-12-07 04:06:53.640,1114,1295
1,2010-12-07 04:08:14.160,1114,1295
1,2010-12-07 04:09:34.680,1114,1295
1,2010-12-07 04:10:55.200,1109,1518
1,2010-12-07 04:12:15.720,1114,1295
1,2010-12-07 04:12:15.720,1109,1518
1,2010-12-07 04:13:36.240,1114,1295
1,2010-12-07 04:13:36.240,1109,1518
1,2010-12-07 04:14:56.760,1109,1378
1,2010-12-07 04:14:56.760,1114,1295
1,2010-12-07 04:16:17.280,1109,1378
1,2010-12-07 04:21:39.360,1114,1295
1,2010-12-07 04:28:21.960,1115,1181
1,2010-12-07 04:29:42.480,1115,1181
1,2010-12-07 04:31:03.000,1181,1295
1,2010-12-07 04:31:03.000,1115,1181
1,2010-12-07 04:33:44.040,1181,1518
1,2010-12-07 04:33:44.040,1109,1164
1,2010-12-07 04:33:44.040,1114,1295
1,2010-12-07 04:35:04.560,1109,1164
1,2010-12-07 04:36:25.080,1109,1164
1,2010-12-07 04:37:45.600,1109,1164
1,2010-12-07 04:37:45.600,1114,1295
1,2010-12-07 04:39:06.120,1114,1295
1,2010-12-07 04:39:06.120,1109,1164
1,2010-12-07 04:40:26.640,1109,1164
1,2010-12-07 04:40:26.640,1114,1295
1,2010-12-07 04:41:47.160,1115,1295
1,2010-12-07 04:41:47.160,1109,1115
1,2010-12-07 04:41:47.160,1114,1295
1,2010-12-07 04:43:07.680,1109,1115
1,2010-12-07 04:43:07.680,1207,1518
1,2010-12-07 04:43:07.680,1207,1513
1,2010-12-07 04:43:07.680,1513,1518
1,2010-12-07 04:43:07.680,1114,1295
1,2010-12-07 04:44:28.200,1207,1518
1,2010-12-07 04:44:28.200,1115,1207
1,2010-12-07 04:44:28.200,1109,1115
1,2010-12-07 04:44:28.200,1513,1518
1,2010-12-07 04:45:48.720,1109,1115
1,2010-12-07 04:45:48.720,1513,1518
1,2010-12-07 04:45:48.720,1114,1295
1,2010-12-07 04:47:09.240,1109,1115
1,2010-12-07 04:47:09.240,1115,1207
1,2010-12-07 04:47:09.240,1513,1518
1,2010-12-07 04:48:29.760,1109,1115
1,2010-12-07 04:48:29.760,1115,1207
1,2010-12-07 04:48:29.760,1513,1518
1,2010-12-07 04:49:50.280,1513,1518
1,2010-12-07 04:51:10.800,1513,1518
1,2010-12-07 04:51:10.800,1109,1115
1,2010-12-07 04:51:10.800,1115,1207
1,2010-12-07 04:52:31.320,1513,1518
1,2010-12-07 04:52:31.320,1114,1295
1,2010-12-07 04:52:31.320,1109,1115
1,2010-12-07 04:52:31.320,1109,1207
1,2010-12-07 04:53:51.840,1114,1295
1,2010-12-07 04:53:51.840,1513,1518
1,2010-12-07 04:55:12.360,1114,1295
1,2010-12-07 04:55:12.360,1207,1295
1,2010-12-07 04:55:12.360,1114,1207
1,2010-12-07 04:56:32.880,1114,1295
1,2010-12-07 04:56:32.880,1115,1207
1,2010-12-07 04:57:53.400,1114,1295
1,2010-12-07 04:57:53.400,1513,1518
1,2010-12-07 04:59:13.920,1114,1295
1,2010-12-07 04:59:13.920,1207,1513
1,2010-12-07 04:59:13.920,1115,1320
1,2010-12-07 04:59:13.920,1109,1518
1,2010-12-07 04:59:13.920,1164,1181
1,2010-12-07 05:00:34.440,1115,1374
1,2010-12-07 05:00:34.440,1109,1518
1,2010-12-07 05:00:34.440,1115,1320
1,2010-12-07 05:00:34.440,1207,1518
1,2010-12-07 05:00:34.440,1513,1518
1,2010-12-07 05:00:34.440,1207,1513
1,2010-12-07 05:00:34.440,1114,1295
1,2010-12-07 05:01:54.960,1513,1518
1,2010-12-07 05:01:54.960,1207,1513
1,2010-12-07 05:01:54.960,1109,1114
1,2010-12-07 05:01:54.960,1115,1513
1,2010-12-07 05:01:54.960,1207,1518
1,2010-12-07 05:03:15.480,1207,1518
1,2010-12-07 05:03:15.480,1109,1114
1,2010-12-07 05:03:15.480,1207,1513
1,2010-12-07 05:04:36.000,1513,1518
1,2010-12-07 05:04:36.000,1109,1114
1,2010-12-07 05:05:56.520,1513,1518
1,2010-12-07 05:05:56.520,1109,1114
1,2010-12-07 05:07:17.040,1109,1114
1,2010-12-07 05:07:17.040,1513,1518
1,2010-12-07 05:08:37.560,1207,1393
1,2010-12-07 05:08:37.560,1513,1518
1,2010-12-07 05:09:58.080,1513,1518
1,2010-12-07 05:09:58.080,1207,1393
1,2010-12-07 05:09:58.080,1114,1295
1,2010-12-07 05:09:58.080,1164,1181
1,2010-12-07 05:11:18.600,1109,1207
1,2010-12-07 05:11:18.600,1513,1518
1,2010-12-07 05:11:18.600,1207,1393
1,2010-12-07 05:12:39.120,1109,1207
1,2010-12-07 05:12:39.120,1513,1518
1,2010-12-07 05:13:59.640,1109,1207
1,2010-12-07 05:13:59.640,1513,1518
1,2010-12-07 05:13:59.640,1207,1393
1,2010-12-07 05:13:59.640,1164,1181
1,2010-12-07 05:15:20.160,1513,1518
1,2010-12-07 05:16:40.680,1207,1393
1,2010-12-07 05:18:01.200,1164,1181
