customer,age,occupation,regionType,marriageStatus,children,income,numHandsets,handsetAge,hacked-handsetAge,smartPhone,currentHandsetPrice,creditRating,homeOwner,creditCard,avgBill,avgMins,avgrecurringCharge,avgOverBundleMins,hacked-avgOverBundleMins,avgRoamCalls,callMinutesChangePct,hacked-callMinutesChangePct,billAmountChangePct,hacked-billAmountChangePct,avgReceivedMins,avgOutCalls,avgInCalls,peakOffPeakRatio,peakOffPeakRatioChangePct,avgDroppedCalls,hacked-avgDroppedCalls,lifeTime,lastMonthCustomerCareCalls,numRetentionCalls,numRetentionOffersAccepted,newFrequentNumbers,churn
1000004,26,crafts,town,yes,TRUE,6,1,1812,1198,FALSE,0,C,TRUE,TRUE,38,7.5,38,0,0,0,-0.03,-2.192546335,0,-3.065028347,0.41,0.33,0,0.36239782,-6.330769732,0,2.528418095,60,0,0,0,0,FALSE
1000012,36,,,yes,TRUE,9,4,544,1440,TRUE,79.99,A,FALSE,TRUE,35.3,24.25,34.98,0,0,0,0.395,2.032897547,-0.0062,6.969525153,2.39,4,1.67,5.586826347,7.499560298,0,0,53,0,0,0,0,FALSE
1000034,74,professional,town,yes,FALSE,7,2,138,372,TRUE,29.99,A,FALSE,TRUE,21.15,45.5,16.99,14,0,0,-0.31,1.246756043,-0.0832,5.032588906,2.28,0,0.33,0.5,-5.94049255,4.33,0,58,0,0,0,3,FALSE
1000063,30,,suburban,no,FALSE,6,3,122,386,TRUE,9.99,C,FALSE,TRUE,91.18,332.75,75,0,0,0,-0.615,0.692497912,-0.1084,-2.86857001,33.21,9,4.67,8.62966138,-0.066484703,5.33,0,50,0.33,0,0,0,FALSE
1000085,32,,town,yes,FALSE,7,8,10,95,TRUE,129.99,A,FALSE,TRUE,93.02,1348.25,75,4.75,0,1.92,-3.305,3.597659608,0.493,2.362455067,436.53,59.33,23,14.04268481,-7.20850186,14.67,0,56,0,0,0,0,FALSE
1000100,40,homemaker,rural,yes,TRUE,7,4,161,52,TRUE,9.99,A,FALSE,TRUE,71.86,537.5,75,0,0,0,1.17,1.625575004,-0.0122,-2.456651397,99.72,31.33,7,5.396666667,-17.09342121,9.33,0,54,0,0,0,0,FALSE
1000121,52,,,no,FALSE,3,1,1619,699,FALSE,0,D,FALSE,TRUE,33.85,225,29.99,0,0,0,1.48,0.20544949,-0.0502,9.632986899,156.56,3,0,0.78880554,-0.583748952,0,0,54,0,0,0,0,FALSE
1000135,32,clerical,,yes,FALSE,5,3,10,1344,TRUE,29.99,E,FALSE,TRUE,70.19,797.25,60,43.25,0,0,-0.185,1.331705286,-0.1878,4.413284941,300.87,22,3.33,3.367765671,-11.54565754,11.67,0,49,0.33,0,0,0,FALSE
1000143,40,,,unknown,FALSE,5,11,124,1204,TRUE,149.99,C,TRUE,FALSE,260.81,3209.75,212.99,0,0,0,-8.435,1.788887068,-0.4238,8.042830041,824.92,141.67,28,4.309085722,21.52038004,30.33,0,53,4.67,0,0,0,FALSE
1000164,42,,,yes,TRUE,4,2,517,510,TRUE,29.99,A,FALSE,FALSE,32.27,112.5,31.98,0,0,0,-0.05,-0.229432563,-0.0058,-0.120812492,17.12,6,0,5.714285714,9.3693316,1.67,0,49,0,0,0,0,FALSE
1000196,0,,,unknown,FALSE,0,4,831,893,FALSE,9.99,G,TRUE,FALSE,46.94,287,30,62.5,0,0.32,-1.14,1.571770271,-0.2794,-1.789592357,48.4,17.33,1.33,5.016268429,-19.97076757,3.67,3.468802984,55,3.33,0,0,0,FALSE
1000230,32,,,no,FALSE,3,5,99,194,TRUE,129.99,D,FALSE,TRUE,87.52,699,80,0,0,2.78,-1.72,0.627291019,-0.0614,7.145162958,272.07,72,30.67,2.774331792,16.14509074,13.67,0,55,1.33,0,0,0,FALSE
1000265,54,self-employed,suburban,yes,FALSE,7,4,443,52,TRUE,149.99,B,FALSE,TRUE,50.58,432.25,50,5.75,0,0,2.775,-0.042176276,0.0344,5.479556297,29.99,12.67,1.33,5.178287732,6.494714408,2.33,0,55,0,0,0,0,FALSE
1000312,54,,,yes,FALSE,9,3,53,689,TRUE,9.99,A,FALSE,TRUE,51.63,409.25,50,0,0,0,0.355,2.411672213,-0.0326,3.670817472,59.24,20.67,3.33,4.742602351,13.45114527,7,0,50,3,0,0,0,FALSE
1000328,58,,suburban,yes,FALSE,7,4,160,717,TRUE,29.99,A,FALSE,TRUE,74.09,456.75,79.99,31.75,0,1.4,-1.255,4.080686941,-0.282,4.061821496,67.54,10.67,6.67,1.470957614,3.10607215,3,0,52,1,0,0,1,FALSE
1000357,32,,suburban,no,FALSE,7,4,632,346,TRUE,29.99,C,FALSE,TRUE,74.37,585.25,80.88,0,0,0,1.535,3.118533049,-0.6968,-1.174881225,181.02,18.67,5.33,2.999703,9.355405247,5,0,52,0.33,0,0,0,FALSE
1000396,40,professional,suburban,yes,TRUE,5,1,1511,1507,FALSE,0,C,FALSE,TRUE,76.21,862.75,50,204,0,0,1.565,-1.340699102,0.1444,1.566735963,240.59,37.67,38,3.642441485,-7.951182227,8.33,0,50,0,0,0,0,FALSE
1000422,48,professional,town,yes,FALSE,6,10,16,1347,TRUE,9.99,A,FALSE,TRUE,83.58,879.25,96.78,5.25,0,0,0.895,-3.226932681,-0.064,-5.606993668,295.13,34,21.33,5.674,-4.903634729,17.33,0,54,0,0,0,0,FALSE
1000455,0,,,unknown,FALSE,0,5,767,377,TRUE,29.99,A,TRUE,FALSE,61.03,133.75,69.99,0,0,0,-0.235,1.796236428,-0.001,4.785562275,7.95,5.33,1.33,1.185,-2.719241654,2,0,47,0,0,0,0,FALSE
1000481,50,,suburban,yes,FALSE,6,5,341,1313,TRUE,9.99,D,FALSE,TRUE,93.58,1804,75,25.75,0,0,4.1,2.838187775,0.2606,-2.679807163,600.84,54.33,1.33,7.46969697,-8.148105559,18,0,49,0,0,0,0,FALSE
1000511,38,clerical,suburban,no,FALSE,5,6,268,813,TRUE,59.99,A,FALSE,TRUE,93.2,1032.5,75,0,0,0,5.01,4.19116131,-0.2296,2.57525134,340.84,63,25.67,2.68783016,11.34143888,19.67,0,51,2,0,0,0,FALSE
1000540,38,,,no,FALSE,6,2,872,1308,TRUE,29.99,C,FALSE,TRUE,71.01,711.5,59.99,69.25,0,0,-7.63,-0.729723464,-0.4006,-4.805070133,210.82,27,9.33,0.936390087,9.087285854,12.67,0,51,0,0,0,0,FALSE
1000566,42,,,unknown,FALSE,5,5,99,1015,TRUE,9.99,A,TRUE,FALSE,95.27,815.25,94.99,0,0,0,-7.005,-0.809745856,-0.1406,4.856491859,183.07,16.33,12.33,3.383654938,-4.408207358,20,0,47,1,0,0,0,FALSE
1000609,34,,suburban,no,FALSE,7,5,163,574,TRUE,9.99,A,FALSE,TRUE,53.76,859.75,59.99,11.75,0,0,0.345,-0.033971399,-0.0754,1.385375507,0,0,0,0,-3.466804728,0,0,53,0,0,0,0,FALSE
1000630,34,,suburban,yes,FALSE,6,4,147,443,TRUE,149.99,A,FALSE,TRUE,236.02,1493.5,70,650.25,0,0.47,15.41,-2.14375906,3.3792,9.450777688,349.85,122.33,24,2.027390678,5.138812043,6,0,47,0.33,0,0,0,FALSE
