UtilizationOfUnsecuredLinesTotal,Age,CustomerLifeTime,NumberOfTime30_59DaysLateNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
0.044497292,46,11,0,0.40433213,3600,7,0,1,0,4,No
0.598916968,48,12,0,0.551595621,8585,13,0,4,0,5,No
0.391372173,50,14,0,0.079297452,11500,10,0,0,0,1,No
0,53,17,0,0.21454078,7000,10,0,1,0,1,No
0.766381766,35,6,0,0.08797654,5114,4,2,0,0,0,No
0.630173925,46,13,0,0.063956144,6566,2,0,0,0,0,No
0.110456511,57,23,0,0.44379635,12000,18,0,2,0,0,No
0.072545768,79,32,0,3549,6670.221237,8,0,2,0,0,No
0.299285553,39,11,0,0.424650064,5500,13,0,1,0,0,No
0.16394283,66,25,0,1110,6670.221237,16,0,0,0,0,No
0.062613391,77,22,0,0.353329334,5000,8,0,1,0,0,No
0,67,21,0,0.248467075,3750,7,0,1,0,0,No
0.044983231,64,16,0,0.738704177,2345,7,0,1,0,0,No
0.014001671,63,23,0,0.252775889,8825,18,0,3,0,0,No
0.770097611,37,8,0,0.136582168,4575,9,0,0,0,0,No
0.185572462,46,10,0,0.211234321,5500,7,0,1,0,5,No
0.016983017,29,3,0,0,2431,2,0,0,0,0,No
0.020406775,31,5,0,0.321334293,4166,8,0,2,0,0,No
0.041298623,72,18,0,0.153406656,7000,5,0,1,0,1,No
0.255493441,60,21,1,2431,6670.221237,16,0,2,0,0,No
0.089587079,52,13,0,1994,6670.221237,6,0,1,0,0,No
0.147775796,33,5,0,430,6670.221237,8,0,0,0,0,No
0.246455518,66,20,0,0.065312389,8466,12,0,0,0,0,No
0,42,12,0,0.382161282,7365,10,0,1,0,2,No
0.0758237,65,22,0,1045,6670.221237,19,0,1,0,1,No
0.9999999,23,1,1,0.002998501,2000,1,0,0,0,0,No
0.136301681,51,13,1,0.205296975,6380,4,1,2,0,2,No
0.038383139,65,17,0,0.006393298,4535,3,0,0,0,1,No
0.75024975,44,8,0,0.31934033,2000,6,0,0,0,1,No
0.003049191,58,13,0,0.053063993,13266,4,0,0,0,0,No
0.887273162,54,19,0,0.754943838,6320,15,0,2,0,0,No
0.962541553,51,15,0,3432,6670.221237,8,0,2,0,0,No
0.013793236,83,34,3,0.111377724,5000,14,0,1,0,1,No
0.031691089,64,21,0,1.357088704,1318,7,0,1,0,0,No
0.008784369,37,7,0,1.116768862,3750,7,0,1,0,0,No
0.9999999,34,5,0,0.15576843,2400,3,0,0,0,3,No
0.407155937,50,11,0,0.279088365,2500,5,0,0,0,0,No
0.9999999,78,18,0,0,6670.221237,0,0,0,0,0,No
0.045168528,85,35,0,0.137701171,10500,11,0,1,0,0,No
0.043318267,59,17,0,0.403423724,6600,9,0,3,0,1,No
0,65,19,0,63,6670.221237,6,0,0,0,0,No
0.152927602,57,14,0,1016,6670.221237,6,0,0,0,0,No
0.734093756,49,14,0,0.813046738,4000,11,0,3,0,2,No
0.03553432,63,21,0,0.485225505,4500,16,0,2,0,0,No
0.408575872,31,5,0,0.135479758,3136,7,0,0,0,0,No
0.012233717,57,17,0,0.042785723,8600,7,0,0,0,0,No
0.190976128,96,26,0,0.029980013,1500,1,0,0,0,0,No
0.675984493,41,9,1,0.320259149,5710,7,2,1,2,0,No
0,34,6,0,0.736122073,3800,5,0,1,0,0,No
0.233863918,70,24,0,2.33744856,1700,15,0,5,0,0,No
0.047957298,70,27,0,0.35187746,9400,12,0,1,0,0,No
0.064753257,86,30,0,0.00679864,5000,5,0,0,0,0,No
0.049232135,52,19,0,0.37983695,8708,21,0,1,0,1,No
0.066795547,75,28,0,0.242378811,2000,7,0,1,0,0,No
0.030731285,59,20,0,0.285385897,17400,13,0,1,0,0,No
0,64,18,0,0.512523896,20400,12,0,3,0,0,No
0.151515152,40,9,0,0.621702638,1667,5,0,1,0,2,No
0.251022685,44,8,0,2059,6670.221237,5,0,1,0,0,No
0.00435452,60,25,1,0.272792534,9750,19,0,3,0,3,No
0.265327541,54,15,0,0.341078721,7100,12,0,1,0,1,No
0,73,30,0,0.09520476,5713,10,0,1,0,0,No
0.003191035,82,25,0,0.005089059,2750,4,0,0,0,0,No
0.090010526,46,10,0,0.055128633,2992,5,1,0,0,0,No
0.187081292,45,10,0,2238,6670.221237,3,0,1,0,0,No
0.538146185,26,3,0,1235,6670.221237,10,0,0,0,0,No
0,40,10,0,231,6670.221237,8,0,0,0,2,No
0.007264134,66,22,0,0.901465994,4160,18,0,3,0,1,No
0.567086804,60,19,0,3557,6670.221237,14,0,1,0,0,No
0.204057014,47,13,0,0.539384246,2500,4,0,1,0,2,No
0.280902176,47,11,0,0.088048838,8517,5,0,0,0,3,No
0.036974595,31,5,0,0.243535246,5645,7,0,1,0,1,No
0.015370787,69,25,0,5,6670.221237,4,0,0,0,0,No
0.731966591,48,13,0,0.412220917,4254,7,6,0,0,0,No
0.835620845,53,18,0,0.349178404,6815,18,0,1,0,0,No
0.363939357,38,10,0,3321,6670.221237,12,0,2,0,1,No
0.003642908,73,21,0,15,6670.221237,7,0,0,0,0,No
0.049189039,46,13,0,850,6670.221237,9,0,1,0,0,No
0.000312494,49,11,0,0.29787234,5263,5,0,1,0,1,No
0.699499265,49,15,0,906,6670.221237,6,0,0,0,0,No
0.024418482,45,12,0,1.004188482,4774,7,0,2,0,1,No
0.016610176,54,18,0,0.005207248,4800,4,0,0,2,0,No
0.061439281,58,17,0,0.498692509,6500,19,0,4,0,1,No
0.467741408,58,22,0,0.667156719,3400,15,0,1,0,3,No
0.068454391,48,10,0,0.089739926,6997,8,0,0,0,3,No
0.106763756,75,28,0,0.010331611,6000,5,0,0,0,0,No
0.060074613,36,6,0,331,6670.221237,6,0,0,0,0,No
0.464720773,64,23,0,0.382190701,3806,10,0,1,0,1,No
0.037979647,73,30,0,0.319736053,5000,15,0,1,0,0,No
0.000993345,71,22,0,0.696721311,975,10,0,1,0,0,No
0.871395902,42,10,0,0.586337383,5020,16,0,2,0,5,No
0.136978413,40,11,0,0.073592641,10000,9,0,0,0,3,No
0.030533186,62,15,0,0.079917869,37500,6,0,2,0,0,No
0.607474073,63,24,0,0.459214819,9500,13,0,2,0,0,No
0.002225725,41,11,0,0.00139972,5000,15,0,0,0,0,No
0,72,28,0,0.002166306,6000,9,0,0,0,0,No
0.064113876,30,4,0,0.248267898,1731,6,0,0,0,0,No
0,42,7,0,0.37101564,5050,4,0,1,0,0,No
0.960335978,57,12,0,0.682468329,2446,4,0,2,0,0,No
0.355479542,30,4,0,0.32245843,4750,7,0,1,0,3,No
0.228754249,59,22,0,0.049387353,21300,16,0,0,0,1,No
0,62,17,0,0,8125,4,0,0,0,0,No
0,65,18,0,0,9538,4,0,0,0,0,No
