UtilizationOfUnsecuredLinesTotal,Age,CustomerLifeTime,NumberOfTime30_59DaysLateNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.141965836,64,24,0,0.945604234,3400,19,0,2,0,0
0.873851006,60,19,0,0.442941026,3916,5,0,0,0,0
0,54,20,1,0.086191733,6821,8,0,0,0,1
0.006996502,40,10,3,0.45902136,6600,9,1,2,2,0
1.002005287,50,13,0,0.419847328,1440,7,0,0,0,1
0.033827695,58,17,0,0.484832358,1878,9,0,0,0,0
0.439773551,38,8,0,0.664293289,6600,18,0,1,0,5
0.247437033,31,4,0,0.025675077,2258,2,0,0,0,0
0.438352232,35,7,1,1.277147488,1850,6,0,2,0,0
0.007894571,62,24,0,0.434017595,3750,5,0,1,0,1
0.67264733,47,17,0,0.457544993,4333,9,0,1,0,2
0.377035133,27,3,0,0.525694861,5000,3,0,1,0,0
0.00107689,71,19,0,0.112434847,4028,8,0,1,0,0
0.386153781,62,20,0,0.858646458,9500,14,0,4,0,0
0.033233024,40,9,1,0.655172414,2000,7,0,1,0,0
0,60,16,0,5236,0,6,0,2,0,0
0.184470972,35,7,0,0.077711561,4194,8,0,0,0,1
0.045328327,74,31,0,0.009599232,12500,8,0,0,0,0
0.523655427,49,19,5,0.101512433,3900,13,0,0,0,0
0.222476825,44,11,1,0.239133454,7200,4,0,1,0,2
0.463445116,31,6,0,0.220273973,1824,5,0,0,0,0
0.7880053,48,12,0,0.655770411,6515,9,0,2,0,2
0.196184762,33,5,0,0.4531753,6833,16,0,2,0,2
0.9999999,23,1,0,0.106183635,1600,1,0,0,0,0
0.247185875,42,9,0,0.419358064,10000,7,0,2,0,2
0.737472071,55,23,0,0.23473745,8664,14,0,1,0,0
0.013549323,44,10,0,0.440651364,5096,6,0,2,0,1
0.000135969,68,25,0,0,2000,7,0,0,0,0
0.918918919,54,13,0,0.182275542,2583,4,0,0,0,0
0.052133352,57,22,1,0.355916255,4250,11,0,1,0,1
0.834491727,43,12,0,0.547451238,6100,8,0,2,0,2
0.038920486,56,19,0,0.346087291,5200,7,0,2,0,0
0.01832427,35,7,0,0.01998002,1000,4,0,0,0,0
0.9999999,27,3,3,0.521056388,1400,2,3,0,1,2
0.303684754,68,27,0,0.060274741,10700,9,0,0,0,3
0.284296468,47,15,1,0.370670158,8400,6,0,2,0,1
0.414585415,21,0,0,0.094362255,2500,3,0,0,0,1
0.056997,62,18,0,0.092383107,2651,12,0,0,0,0
0.0119976,28,4,0,0.00019996,5000,1,0,0,0,0
0.9999999,67,21,0,0.206308827,3930,5,0,1,0,0
0.829395247,45,12,0,0.433682373,4583,8,0,2,0,2
0.855418431,31,5,0,0.116480403,6352,6,0,0,0,0
0.442557443,27,3,2,0.015401243,3700,6,0,0,0,0
0.010694992,72,34,0,0.17462571,7747,13,0,2,0,1
0.141166813,49,17,0,0.268062468,5826,7,0,1,0,3
0.093670886,63,19,0,0.000735204,8160,2,0,0,0,2
0.045486806,83,33,0,0.11879406,6666,19,0,0,0,0
0.02221426,53,12,0,0.24675065,5000,5,0,1,0,0
0.001578864,42,8,0,0.274333801,3564,8,0,1,0,0
0.9999999,29,4,0,0.059602649,1660,1,0,0,0,1
0.406177091,42,11,0,0.746500412,8500,11,0,2,0,2
0.001821028,33,7,0,0.05677171,4156,6,0,0,0,0
0.055968942,46,13,0,0.155630378,2672,4,0,0,0,0
0.295769588,56,13,0,0.816523417,5700,8,0,2,0,0
0.678532147,38,6,0,0.110049083,3870,6,0,0,0,3
0.153631501,35,7,0,0.019576887,3166,7,0,0,0,0
0.99360128,86,38,0,0.048313878,3083,1,0,0,0,0
0.016081751,53,18,0,0.209289312,5360,6,0,1,0,3
0.062133539,59,18,0,0.221755649,5000,6,0,1,0,1
0.009215506,76,26,0,0.351819757,7500,10,0,2,0,2
0.915683373,59,20,1,0.463639719,5417,4,1,1,1,1
0.006074325,68,26,0,6,0,5,0,0,0,0
0.832365084,47,17,0,0.52332913,6343,13,0,2,0,1
0.567287785,38,8,0,0.326237213,3616,5,0,0,0,0
0.424184706,51,15,0,0.265538757,8333,14,0,1,0,0
0.211860354,28,4,0,0.059276504,5583,10,0,0,0,0
0.323555104,47,13,0,0.558914544,4200,16,0,1,0,0
0.035841162,92,37,0,0.004799616,8333,2,0,0,0,0
0,46,13,0,0.485933504,4300,10,0,1,0,0
0.9999999,62,19,98,0,2080,0,98,0,98,1
0.288608972,52,18,0,0.392577188,6250,6,0,1,0,2
0.558236703,44,11,0,0.813051146,1700,13,0,0,0,1
0.197730818,36,8,0,0.115286516,5880,7,0,0,0,2
0.9990002,42,11,4,0.172068483,9286,4,1,0,1,2
0.162815289,42,13,0,0.053294671,10000,8,0,0,0,0
0.225595916,53,14,0,0.229685693,9512,13,0,1,0,0
0.983531349,35,8,0,0.13221216,3864,8,0,0,0,2
0.9999999,42,10,0,0.007331704,4500,2,0,0,0,0
0.9999999,38,10,0,0.113967438,3500,1,0,0,0,2
0.339192998,63,23,0,0.020261027,27046,2,0,0,0,0
0.410763211,60,18,0,0.487157387,5800,6,0,1,0,0
0.019998817,44,11,0,0.394835485,2400,6,0,0,0,3
0.879750641,45,17,0,0.880853191,6000,23,0,2,0,1
0.820436194,56,20,1,0.509227156,8940,9,0,2,0,2
0.018880202,52,12,0,0.251939071,10700,10,0,1,0,0
0.025671794,67,23,0,0.005261773,3800,4,0,0,0,0
0.9999999,28,4,0,0.099944475,1800,3,1,0,2,1
0.616428178,37,7,0,0.340426383,25000,16,0,5,0,3
0.043619531,46,14,0,0.025146689,3578,11,0,0,0,0
0,45,13,0,0.193062114,11011,7,0,1,0,0
0.179679479,61,18,0,0.302728227,1905,14,0,0,0,0
0.356735095,65,26,0,0.39246167,4695,11,0,1,0,1
0.126531018,59,15,0,0.440013076,3058,9,0,1,0,1
0.03979602,51,14,0,0.179243037,4200,2,0,1,0,0
0,63,24,0,0.223462756,6000,9,1,1,0,1
0.032113827,58,15,0,0.722988986,7172,11,0,3,0,0
0.905027512,54,13,0,0.315454951,8967,5,0,1,0,1
0.682317682,36,7,0,0.0039992,5000,1,0,0,0,0
0.25104536,76,38,0,0.658142665,5200,25,0,1,0,0
0.273827088,52,16,0,0.183272243,3000,5,0,0,0,0
0.057151086,57,18,0,0.048159927,2200,6,0,0,0,0
0.39094404,44,10,1,0.407737448,4600,10,0,0,0,0
0.186906547,59,15,0,0.002114978,5200,6,0,0,0,0
0.952209558,26,2,1,0.196003075,1300,6,0,0,0,0
0.347568851,41,12,0,0.147960415,29000,4,0,1,0,2
0.625194401,25,2,2,0.915956151,820,5,3,0,0,0
0.9999999,40,7,0,0.436158007,6100,4,0,2,0,2
0.9999999,29,5,0,0.024877935,4300,0,2,0,0,3
0.075117457,37,7,0,0.464691914,8000,11,0,3,0,3
1.075949367,35,6,1,0.377942599,3100,3,2,0,0,3
0.005315673,48,15,0,0.180547975,9160,13,0,1,0,5
0.023292491,56,15,0,0.430856791,6500,14,0,2,0,0
0.241044718,48,11,0,0.82029735,12375,16,0,6,0,0
0.018308645,60,19,0,0.073640575,4100,8,0,1,0,0
0.125551884,35,7,1,1923,0,8,0,3,0,2
0.03733908,46,11,0,0.465055633,5751,10,0,1,0,2
0.028690101,87,23,0,0.001249844,8000,2,0,0,0,0
0.691183823,38,7,0,0.14194819,6600,6,0,0,0,3
0.021931871,53,15,0,0.314737053,5000,4,0,1,0,0
0.307256296,51,16,0,2.468174645,1900,8,0,3,0,0
0.974512744,50,11,2,0.506832298,2414,9,1,1,3,1
0.445914554,39,7,0,0.043610394,6580,4,0,0,0,5
0.106235711,71,26,0,0.296581197,4679,13,0,1,0,0
0.554377461,31,5,0,0.385530228,2017,4,0,1,0,2
0.814371257,44,13,1,310,0,6,0,0,0,0
0.064357786,29,3,0,0.095718571,3666,2,0,0,0,0
0.094101961,51,15,0,0.343707037,8000,10,0,2,0,4
0.203376865,61,23,0,0.357076923,6499,16,0,2,0,0
0,34,6,0,0.688721289,8750,10,0,3,0,1
0.9999999,66,25,0,0.1746633,2375,3,0,0,1,0
0.9999999,27,2,0,0.095449501,900,1,3,0,0,0
0.271788325,42,13,0,0.432544243,4350,7,0,2,0,1
0.431031112,56,19,0,0.160762719,12166,18,0,0,0,1
0.211679666,46,13,0,0.362853629,7316,7,0,1,0,3
0.100671274,58,20,1,0.182874148,10416,12,0,1,0,1
0.997080596,51,15,1,0.096827848,8416,13,2,0,0,1
0.472822807,45,14,0,0.824701195,6274,10,0,3,0,1
0.110786558,50,14,0,0.103456329,12845,7,0,1,0,1
0.536837656,43,11,0,0.618325152,13445,17,0,6,0,2
0.153039832,33,6,0,0.380145848,4250,6,0,1,0,1
0.460571169,48,17,0,0.145075516,4700,5,0,0,0,0
0.097423407,26,2,0,0.00591716,6083,2,0,0,0,0
0.019219616,76,31,0,0.002666413,10500,5,0,0,0,0
0.685102537,40,10,0,0.639226796,6000,11,0,1,0,1
0.328730992,80,21,0,0.288020947,4582,7,0,1,0,0
0.053707635,39,10,0,0.264573071,4871,6,0,1,0,2
0.088020436,40,13,0,1.013456363,2600,11,0,2,0,1
0.037143689,58,26,0,0.215797367,6000,16,0,0,0,1
0.091330566,57,20,0,0.009472687,9500,3,0,0,0,0
0.9999999,39,10,0,0.914484452,7331,7,0,2,0,3
1.323704239,61,16,0,0.613036383,10416,13,0,4,0,0
0.014537343,49,10,0,0.178439577,8125,6,0,2,0,3
1.048780488,52,15,3,0.251582806,3000,9,0,0,0,0
0.715968475,33,5,4,0.514080987,6000,12,0,1,1,2
0.9999999,42,10,0,0.279499011,1516,7,3,0,0,0
0.038784408,44,9,0,0.186912187,10100,7,0,2,0,0
0.236352729,68,22,0,0.023264402,2707,1,0,0,0,0
0.206788239,69,29,0,0.918832467,2500,14,0,2,0,0
0.854302688,40,7,0,0.595775411,5538,11,0,1,0,0
0.367076942,45,14,0,1.376154917,7900,15,0,6,0,2
0.055740042,52,15,1,0.102417952,16666,9,0,2,0,2
0.370527158,64,26,0,0.28820337,3500,6,0,1,0,0
0.9999999,25,2,0,0.085200272,2945,1,0,0,0,0
0,25,2,0,0.633373934,820,3,0,0,0,0
0.106822006,47,17,0,0.494437403,7100,10,0,2,0,0
0,62,16,0,0.451709658,5000,7,0,1,0,0
0.702969436,39,10,0,0.657779629,4800,10,0,2,0,0
0.165529803,50,14,0,0.455008998,3333,7,0,1,0,1
0.936717638,39,8,0,0.430422265,4167,8,0,0,0,1
0.624758349,50,16,0,0.703235662,7200,8,0,3,0,1
0.000806989,63,23,0,0.115792281,15000,5,0,1,0,0
0.000414727,35,8,0,0.559062991,7000,11,0,1,0,3
0.330255658,58,20,0,0.814356138,8316,11,0,6,0,1
0.706961684,52,13,0,0.682195165,5666,12,0,1,0,1
0.009789301,45,11,0,0.244623318,7950,8,0,2,0,4
0.116543825,53,16,0,0.728607383,2383,14,0,1,0,0
0.240753162,40,12,1,0.312582678,12850,20,0,1,0,0
0.012669954,55,16,0,0.148645093,3800,11,0,0,0,0
0.317251442,48,13,0,0.356584154,10866,8,0,2,0,1
0.4995005,25,2,1,0.35029532,2200,4,1,0,1,0
0,50,15,0,0.493417287,5240,10,0,2,0,0
