UtilizationOfUnsecuredLinesTotal,Age,CustomerLifeTime,NumberOfTime30_59DaysLateNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
0.258855586,34,5,1,0.018681319,7279,7,1,0,0,1,No
0.090427815,53,17,0,0.278196778,5833,6,0,1,0,0,No
0.95030497,28,3,0,0.385576377,1760,10,0,0,0,0,No
0.438251235,85,38,1,0.301339732,5000,8,0,1,0,1,No
0.9999999,27,2,0,0.014330945,6000,2,0,0,1,1,No
0.056480658,67,15,0,0.018660447,3000,3,0,0,0,0,No
0.442772413,40,10,0,0.087844594,7000,5,0,0,0,3,No
0.8891258,48,10,2,0.145908908,2480,5,0,0,2,0,No
0.296055509,68,22,0,0.323904028,6751,14,0,1,0,0,No
0.31834083,52,19,2,0.403176004,6800,5,0,2,1,2,No
0,53,13,0,0.323349308,7511,6,0,1,0,0,No
0.718290234,40,13,0,0.274230376,12700,13,0,2,0,3,No
0.00436324,26,3,0,0.118781243,4200,6,0,0,0,0,No
0.087982404,51,17,0,885,6670.221237,2,0,1,0,0,No
0,44,10,0,0.897001304,3834,19,0,2,0,2,No
0.112679702,54,17,0,0.06595941,2167,3,0,0,0,0,No
0.419188001,44,12,0,234,6670.221237,4,0,0,0,0,No
0.018520162,62,26,0,49,6670.221237,12,0,0,0,0,No
0.676320485,47,13,0,0.895685878,5933,13,0,4,0,1,No
0.053082681,89,24,0,0.004769475,5660,3,0,0,0,0,No
0,65,23,0,0.35223133,8783,6,0,1,0,0,No
1.011238825,33,7,1,0.620985011,1400,8,0,0,1,3,No
0,43,11,0,657,6670.221237,10,0,0,0,0,No
0.227457208,72,26,0,0.042985671,3000,6,0,1,0,0,No
0.091717813,64,25,0,739,6670.221237,4,0,0,0,0,No
0.131316739,42,10,0,0.075191225,6928,5,0,0,0,5,No
0.005977645,51,17,0,0.162388844,9895,6,0,1,0,2,No
0.066683809,78,23,0,70,6670.221237,5,0,0,0,0,No
0.11240869,51,18,0,0.112539274,3500,3,0,0,0,0,No
0.258103605,42,8,1,0.485946284,1600,5,0,1,0,0,No
0.715479367,59,18,0,0.279558808,9700,8,0,1,0,0,No
0.217201319,75,32,0,1674,6670.221237,12,0,1,0,0,No
0.004570993,28,4,0,0.008594983,5700,4,0,0,0,0,No
